,mean_gain
mean_ret_5,0.06279949761927128
macd_norm,0.06257096454501151
close_over_ema20,0.06210712805390358
sma20_over_sma50,0.06141414053738117
vol_5,0.06121031209826469
macd_hist_norm,0.060010665729641914
vol_21,0.05863238230347633
mean_ret_21,0.05780572384595871
close_over_sma50,0.057539581507444384
bb_pct,0.057067516669631
close_over_sma20,0.05414315052330494
vol_10,0.05403784267604351
rsi,0.052393731772899625
ret_lag_4,0.05210127115249634
ret_lag_3,0.04955534249544144
ret_lag_1,0.047979821562767026
ret_lag_2,0.04535950243473053
ret_lag_0,0.043271423242986204
