feature,mean_abs_shap,mean_gain,group,shap_rank,gain_rank
vol_63,0.00461447259876877,0.04301277309656143,regime,1,3
mom_63,0.0018296317523345351,0.04355852734297514,regime,2,2
ret_lag_1,0.0017642158482340164,0.02859014991670847,base,3,24
vol_21,0.0017219419177854434,0.03612293012440205,base,4,12
drawdown_63,0.0017184978077420966,0.04972266942262649,regime,5,1
vol_10,0.0015742478601168842,0.03517366345971823,base,6,17
dist_high_252,0.0014738027879502625,0.040496451780200005,regime,7,5
ret_lag_0,0.0014122237428091467,0.023549129609018563,base,8,28
vol_5,0.0013517662783851846,0.03370947949588299,base,9,19
ret_lag_2,0.0012517942738486454,0.027323361188173294,base,10,25
mean_ret_21,0.001219648813130334,0.035394032783806324,base,11,16
sma20_over_sma50,0.0011581991909770295,0.03755722876638174,base,12,10
rsi,0.001133657616446726,0.03565174002200365,base,13,15
ret_lag_3,0.0011179289111169055,0.03108290698379278,base,14,22
mean_ret_5,0.0011015920742647723,0.038214648887515065,base,15,9
close_over_sma50,0.0010772832040674984,0.03854601994156837,base,16,7
ret_lag_4,0.0010614640061976388,0.03188041377812624,base,17,21
bb_pct,0.0010113896461552941,0.035943939313292504,base,18,13
macd_hist_norm,0.000948679784196429,0.03509171653538942,base,19,18
macd_norm,0.000939171077334322,0.0407490873336792,base,20,4
month_sin,0.0007701267636730335,0.035725195780396464,calendar,21,14
close_over_sma20,0.0007698989353957586,0.03239039797335863,base,22,20
close_over_ema20,0.000697521796100773,0.03845990803092718,base,23,8
month_cos,0.0005120805482874858,0.036707720272243026,calendar,24,11
dow_sin,0.0004952370005776174,0.02922664862126112,calendar,25,23
vol_regime_high,0.00029181075114138367,0.03921647418756038,regime,26,6
dow_cos,0.000267230354656931,0.02715543719008565,calendar,27,26
turn_of_month,0.00021927732615949935,0.025043108202517032,calendar,28,27
trend_up,2.327273055925616e-05,0.014704253296367825,regime,29,29
