ticker,claimed_confidence_mean,empirical_coverage,gap,mean_halfwidth,n_eval
AAPL,0.8499999999999998,0.8763157894736842,0.026315789473684403,0.019436462089469923,380
MSFT,0.8499999999999998,0.8657894736842106,0.015789473684210797,0.019370609249193396,380
SPY,0.8499999999999998,0.8657894736842106,0.015789473684210797,0.011068570932081584,380
GOOGL,0.8417105263157892,0.9026315789473685,0.06092105263157921,0.024728999631650938,380
AMZN,0.824736842105263,0.8789473684210526,0.0542105263157896,0.02507357008539034,380
META,0.7493421052631579,0.8473684210526315,0.09802631578947363,0.02576961705889792,380
NVDA,0.7,0.7578947368421053,0.05789473684210533,0.032712048136820986,380
JPM,0.8499999999999998,0.8921052631578947,0.04210526315789498,0.018012967378024613,380
XOM,0.8499999999999998,0.8710526315789474,0.021052631578947656,0.019446009247124103,380
KO,0.8499999999999998,0.8552631578947368,0.0052631578947370805,0.011631424310798215,380
