actual_ret,lstm_price_pred,lstm_returns_pred,persistence_zero_pred,momentum_pred,always_up_pred
0.02241,-0.0336,0.00187,0.0,0.01685,0.0
0.04048,-0.04534,0.00178,0.0,0.02241,0.0
-0.00181,-0.06826,0.00127,0.0,0.04048,0.0
0.01628,-0.05538,0.00279,0.0,-0.00181,0.0
-7e-05,-0.0581,0.00318,0.0,0.01628,0.0
0.02426,-0.04763,0.00404,0.0,-7e-05,0.0
-0.04686,-0.05733,0.00367,0.0,0.02426,0.0
0.03131,-0.00845,0.00569,0.0,-0.04686,0.0
0.00892,-0.03014,0.00396,0.0,0.03131,0.0
0.00781,-0.03085,0.00368,0.0,0.00892,0.0
0.04138,-0.03059,0.00359,0.0,0.00781,0.0
-0.00084,-0.05608,0.00225,0.0,0.04138,0.0
-0.02807,-0.04519,0.00323,0.0,-0.00084,0.0
0.00609,-0.01364,0.00477,0.0,-0.02807,0.0
0.00805,-0.01451,0.00432,0.0,0.00609,0.0
-0.00721,-0.01692,0.0038,0.0,0.00805,0.0
0.00519,-0.0066,0.00403,0.0,-0.00721,0.0
-0.01352,-0.00803,0.00361,0.0,0.00519,0.0
-0.04722,0.00622,0.004,0.0,-0.01352,0.0
0.01989,0.04839,0.00524,0.0,-0.04722,0.0
0.0048,0.0258,0.00308,0.0,0.01989,0.0
0.02837,0.0192,0.00239,0.0,0.0048,0.0
0.04074,-0.00584,0.00106,0.0,0.02837,0.0
0.02246,-0.03616,8e-05,0.0,0.04074,0.0
-0.0084,-0.0472,0.00064,0.0,0.02246,0.0
-0.01605,-0.03217,0.00235,0.0,-0.0084,0.0
0.02086,-0.01273,0.00371,0.0,-0.01605,0.0
-0.01362,-0.02586,0.00304,0.0,0.02086,0.0
0.00335,-0.00915,0.00396,0.0,-0.01362,0.0
-0.03257,-0.00875,0.00382,0.0,0.00335,0.0
-0.01289,0.02203,0.00491,0.0,-0.03257,0.0
0.04895,0.03165,0.00465,0.0,-0.01289,0.0
-0.00762,-0.01143,0.00166,0.0,0.04895,0.0
0.00535,-0.00207,0.00241,0.0,-0.00762,0.0
-0.03218,-0.00476,0.0024,0.0,0.00535,0.0
-0.04178,0.02486,0.00378,0.0,-0.03218,0.0
0.00662,0.0598,0.0048,0.0,-0.04178,0.0
-0.01154,0.04657,0.0032,0.0,0.00662,0.0
0.0215,0.05093,0.00294,0.0,-0.01154,0.0
0.00275,0.02593,0.0013,0.0,0.0215,0.0
0.01176,0.02052,0.00131,0.0,0.00275,0.0
0.03479,0.00837,0.00107,0.0,0.01176,0.0
-0.00048,-0.02023,0.0002,0.0,0.03479,0.0
-0.01806,-0.01598,0.00141,0.0,-0.00048,0.0
-0.02548,0.00247,0.00289,0.0,-0.01806,0.0
-0.02694,0.02509,0.00399,0.0,-0.02548,0.0
0.03139,0.04621,0.00453,0.0,-0.02694,0.0
-0.01414,0.0141,0.00221,0.0,0.03139,0.0
-0.0225,0.0251,0.0028,0.0,-0.01414,0.0
-0.01676,0.04197,0.00341,0.0,-0.0225,0.0
-0.0122,0.0514,0.00343,0.0,-0.01676,0.0
-0.01135,0.05528,0.00313,0.0,-0.0122,0.0
0.01373,0.05765,0.00282,0.0,-0.01135,0.0
0.03076,0.03752,0.00151,0.0,0.01373,0.0
0.0369,0.00651,0.00017,0.0,0.03076,0.0
0.00394,-0.02381,-0.00048,0.0,0.0369,0.0
-0.00207,-0.02291,0.00083,0.0,0.00394,0.0
-0.02087,-0.01704,0.00202,0.0,-0.00207,0.0
0.0035,0.00386,0.00348,0.0,-0.02087,0.0
-0.02327,0.00153,0.00336,0.0,0.0035,0.0
